C0	N	Idle
4	1	90.72
10	2	90.71
21	3	90.69
34	4	90.66
48	5	90.61
56	6	90.55
79	7	90.48
86	8	90.40
117	9	90.32
126	10	90.21
138	11	90.10
203	12	89.97
200	13	89.84
217	14	89.69
244	15	89.54
293	16	89.39
294	17	89.23
311	18	89.07
331	19	88.89
348	20	88.70
389	21	88.51
415	22	88.30
497	23	88.11
542	24	87.90
537	25	87.69
611	26	87.47
570	27	87.24
600	28	87.01
601	29	86.76
727	30	86.53
655	31	86.27
630	32	86.00
675	33	85.72
694	34	85.43
665	35	85.14
676	36	84.84
669	37	84.53
778	38	84.22
732	39	83.90
759	40	83.58
834	41	83.25
768	42	82.90
726	43	82.54
822	44	82.19
852	45	81.83
851	46	81.47
874	47	81.09
910	48	80.72
920	49	80.34
1019	50	79.96
